date,timestamp_queried,source_url,rows_matched
2022-09-18,20220918121500,http://data.gdeltproject.org/gdeltv2/20220918121500.gkg.csv.zip,50
2022-09-19,20220919121500,http://data.gdeltproject.org/gdeltv2/20220919121500.gkg.csv.zip,119
2022-09-20,20220920121500,http://data.gdeltproject.org/gdeltv2/20220920121500.gkg.csv.zip,101
2022-09-21,20220921121500,http://data.gdeltproject.org/gdeltv2/20220921121500.gkg.csv.zip,154
2022-09-22,20220922121500,http://data.gdeltproject.org/gdeltv2/20220922121500.gkg.csv.zip,142
2022-09-23,20220923121500,http://data.gdeltproject.org/gdeltv2/20220923121500.gkg.csv.zip,158
2022-09-24,20220924121500,http://data.gdeltproject.org/gdeltv2/20220924121500.gkg.csv.zip,60
2022-09-25,20220925121500,http://data.gdeltproject.org/gdeltv2/20220925121500.gkg.csv.zip,49
2022-09-26,20220926121500,http://data.gdeltproject.org/gdeltv2/20220926121500.gkg.csv.zip,113
2022-09-27,20220927121500,http://data.gdeltproject.org/gdeltv2/20220927121500.gkg.csv.zip,118
2022-09-28,20220928121500,http://data.gdeltproject.org/gdeltv2/20220928121500.gkg.csv.zip,124
2022-09-29,20220929121500,http://data.gdeltproject.org/gdeltv2/20220929121500.gkg.csv.zip,150
2022-09-30,20220930121500,http://data.gdeltproject.org/gdeltv2/20220930121500.gkg.csv.zip,133
2022-10-01,20221001121500,http://data.gdeltproject.org/gdeltv2/20221001121500.gkg.csv.zip,87
2022-10-02,20221002121500,http://data.gdeltproject.org/gdeltv2/20221002121500.gkg.csv.zip,75
2022-10-03,20221003121500,http://data.gdeltproject.org/gdeltv2/20221003121500.gkg.csv.zip,95
2022-10-04,20221004121500,http://data.gdeltproject.org/gdeltv2/20221004121500.gkg.csv.zip,100
2022-10-05,20221005121500,http://data.gdeltproject.org/gdeltv2/20221005121500.gkg.csv.zip,132
2022-10-06,20221006121500,http://data.gdeltproject.org/gdeltv2/20221006121500.gkg.csv.zip,152
2022-10-07,20221007121500,http://data.gdeltproject.org/gdeltv2/20221007121500.gkg.csv.zip,130
2022-10-08,20221008121500,http://data.gdeltproject.org/gdeltv2/20221008121500.gkg.csv.zip,53
2022-10-09,20221009121500,http://data.gdeltproject.org/gdeltv2/20221009121500.gkg.csv.zip,66
2022-10-10,20221010121500,http://data.gdeltproject.org/gdeltv2/20221010121500.gkg.csv.zip,128
2022-10-11,20221011121500,http://data.gdeltproject.org/gdeltv2/20221011121500.gkg.csv.zip,139
